Name,Rating,Ease of Prep,Notes,Type,Prep Time,Photo,Cookbook,Page #,Ingredients,Slowcooker,Link,Last Made,Make It Next
Healthy Buckwheat Soup,⭐⭐⭐,Super Simple,Eh,Main Dish,45,IMG_20170916_181235.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/J8-H4WzTDM8tsOBYY-2GWg/xgzFFZcR4JSnWwUkWT1SU4sGrR_JY--hC59Dla5eXO1CchscWxe7E3ouhuI7eJnu/NnC145MO6Vd8EUn84KSVq3g4cSaE4NoK2sKPuiTVpoE),Pinterest,,"Buckwheat,Carrots,Onion",,http://momsdish.com/recipe/385/healthy-buckwheat-soup,12/17/2017,2/2/2018
Buckwheat Chicken Pilaf,⭐⭐⭐⭐⭐,Hard,Extremely good,Main Dish,120,IMG_20170920_214256.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/b3PSOwSpzny3P5GZsyF41g/vwn-RnkhenZLw8yTqlYm7p4t8hbNgkWML-nzLtP-MN1YAwF8Lucu334Fe-NMB86n/WV2iOPgN0W1kqgV1V7ICQUfKgFC6pyyl9-H2ReHxdLk),Pinterest,,"Buckwheat,Carrots,Chicken,Onion",,https://natashaskitchen.com/buckwheat-and-beef-pilaf-plov/,1/19/2019,8/2/2019
Vegetable Noodle Soup,⭐⭐⭐⭐,Super Simple,"Luke's favorite way to eat noodles.  Absorbs a lot of water, need to add more second day",Main Dish,40,IMG_20170925_215045.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/JG3TwjuhLTRUQeeijcRg2g/jwBJQGY9D1NkUpsZwY3MfJM3VhnmlFyBK9Ha5ub7EzivsteglJjS4mGFMp9gkrXM/3H1HHmNU7JMXiau9UlHevZQgzoS0ESLlbS-KCU-GrGU),Pinterest,,"Carrots,Noodles",,http://thevegan8.com/2014/10/18/classic-vegan-noodle-soup/,8/28/2018,27/9/2018
Bacon and Honey Potato Salad,⭐⭐⭐,Fairly Easy,Don't cook bacon too long,Main Dish,45,IMG_20170926_202224.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/pJXgh_zQE-aulbekyDlH4g/0fSQRLWiHzNcVXIpda8CUlaM-K44kxYfrRGu-Xwl9yLrHlyko1G_2xInHjHbkPjh/UdPyWNIXV2W-PrGKYDkyaLauuVwWcMZCKKVlzxnrEos),Pinterest,,"Potatoes,Bacon",,https://www.smalltownwoman.com/warm-bacon-honey-mustard-potato-salad/,10/3/2017,19/11/2017
Pretzel Sticks,⭐⭐⭐⭐,Average,Flip pretzel sticks half way through,Baking Basics,60,IMG_20171004_185102.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/ii3E7qlnAXakhMSbm9tUgg/xRwSrv0dO6w2_2AgbcGYKe694DOh7jJqk442-AQybDz3F8cSKxCj-vXPjfRhGBHX/9fg6Fwh9vtxxylrgBE0BZa2MSsO1u1yf9NXQzF9AR6g),Pinterest,,"Eggs,Flour,Yeast",,https://gatherforbread.com/german-soft-pretzel-sticks/,10/4/2017,3/11/2017
Golden French Lentil Soup,⭐⭐⭐,Fairly Easy,Best lentil soup,Main Dish,60,IMG_20171008_191344.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/pLbPMqUDEs9AbCUcj_WnDg/IHo-AX94ro2SFQNozPSiX3wIQO_gfpbWoZJlmTI343a7JFg7UEYyYe9QQRak8xot/Az9vlK4Ozmm7JuyC0pRc8g0vDN6cphjemXfTtXcpecw),Pinterest,,Lentils,,https://www.veggiesdontbite.com/vegan-lentil-stew-oh-she-glows-every-day/,2/1/2019,20/3/2019
Lentil Shepherd's Pie,⭐⭐⭐⭐⭐,Average,So good,Main Dish,90,IMG_20171010_202849.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/s0GSIeu5ygaWjqGod2x7VQ/6-xvvdPjdtXn0FFOizAJbrV6QsVNomae8KbftM4T57wmgq6djVBs-bWQEx6TbH6X/0_rCts58oO6hLZX3z2ufNlg3nTtl7WMob5evo0LKuTA),Pinterest,,"Lentils,Carrots,Onion,Peas,Potatoes",,https://itdoesnttastelikechicken.com/seriously-the-best-lentil-shepherds-pie/,1/2/2018,22/1/2018
Honey Lime Chicken,⭐⭐⭐,Fairly Easy,Doesn't use the stove!  Sear chicken skin longer (+5 minutes),Main Dish,45,IMG_20171011_210405.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/dqCIGfWaPu7O5-AC_yaVbQ/Dt1BErIZFRB6CjSGcTfau3jqwrmf8s-NTX6-B3aWyWHLaBeRpXFp7tNKGT4biGxr/7LallWkXf6K8FRXtkzzkAJ-5oFT0rN8ropH8fspNazE),Pinterest,,"Chicken,Rice",,http://www.juliasalbum.com/2015/09/cilantro-lime-honey-chicken-thighs-recipe/,11/11/2017,28/12/2017
Lentil Curry,⭐⭐,Super Simple,Makes a ton,Main Dish,45,Image 05 November 2017 10:19 PM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/tWsj84RpRQxy4q4lz4gyJA/eQXJahAOCSsJzC5oKq7hiAOJl5QEoZ2AHM8f6U8ou0m0wqkmGXQffoM1rVchymoRf8438vTIyNPYsiFE31QMyA/A4HLIEEJ5GngzAV0WQf-dOCYhPQrsGY_G2lzp4vZdoQ),Pinterest,,"Lentils,Carrots,Onion",,https://www.forksoverknives.com/recipes/indian-curry-lentils/#gs.lUICmXM,1/3/2018,6/3/2018
Dutch Oven Bread,⭐⭐⭐⭐⭐,Super Simple,Bake at 180 for 25 min with lid and 15 min without,Baking Basics,60,Image 05 November 2017 10:21 PM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/IBT6f3ekWN-0dkIGDgxQaA/ptkT784HhPFsV5Mqr_l513QpaibRxRwI_d9aKmgdr2dNtFZlWa_nQw_ovy3RCTaL6swBKWAy4fL6E3vwQMPqbA/0WGu2_3n2-uwcSOVw3-gGyRig1w67K8Ph3dzd0O_W-g),Pinterest,,"Flour,Yeast",,http://www.nutritiouseats.com/rosemary-dutch-oven-bread/,11/5/2017,25/11/2017
Potato Apple Roast,⭐⭐⭐⭐,Average,,Main Dish,45,IMG_20171030_190727.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/Pm50jAGInh_b2MeKdd50zA/wYr9kQzUnJeCcnUAnjxvvtU7mku0zYcps-SNJ6pEynr4Z2G2eI825m0CfJotxJmO/2cAhA4j7NSa_byED9Cxz8Fx0xwrQId-8QKGu2wx8yoY),Pinterest,,"Apple,Potatoes,Ham",,https://www.healthyseasonalrecipes.com/roasted-potatoes-with-apples-sausage-and-maple-mustard-glaze/,7/21/2018,20/8/2018
Baking Powder Biscuits,⭐⭐⭐⭐,Super Simple,,Baking Basics,30,IMG_20171025_194215.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/0B3s2ZB3yVsX7Klwg7Efjw/SritsZ9KeJ-gTi074OnmUMnAbLA49s1-oaMrU7dpOmIKktoJG31vfbSR45EzmQQI/vJpMtkb3jxnwGzTJlJVhK5aGSny-raV0zrIuQ9PwhIE),Pinterest,,"Flour,Milk,Eggs",,https://www.kingarthurflour.com/recipes/baking-powder-biscuits-recipe,10/25/2017,24/11/2017
Sugar Cookies,⭐⭐⭐⭐⭐,Fairly Easy,,Baking Basics,25,IMG_20171018_201605 (1).jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/okMP8z6YzQdKfoAJsGWCGQ/1fUz-GGrxV2bBcd5bqSZH4Aq5rSucxIIgA75OPEq4nxsNFUKcV6h809H-PAhkTr4zixS4hx23bRQ86aAVVB0fw/9j2A15x-enXA-Iy7cx5puI7QEoBAv8c1aSpJCEJQIoA),Pinterest,,"Flour,Eggs",,https://deliciouslysprinkled.com/soft-sugar-cookies/,10/18/2017,7/11/2017
Potato Curry,⭐⭐⭐⭐,Fairly Easy,"Too tomatoey, use less tomato, more cream",Main Dish,35,IMG_20171017_203922.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/pxXgMZaf3nBVwQTaV8kbUw/6Pm4ilq6bktsVQ58jn6dPJm_Dxael3rCp0NwR7qbwGc4jtFCcgy5oRQg97cgr5VF/vRvIgWbNGTIDtYRmmx14VwhPwP9wFEsZ9ecACcu-pIk),Pinterest,,"Potatoes,Vegetarian",,http://www.savorytooth.com/easy-weeknight-potato-curry/,1/14/2018,13/2/2018
Bucatini all'Amatriciana,⭐⭐⭐⭐,Hard,Very yummy,Main Dish,45,IMG_20171107_194756.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/BomTreACawIkhvaT0AR3bw/xEzb7ugfkDLHllmzdgkJoOKL9GyVgOGO4Tr9oVYfrNDUYlQZZql3JV96C7S4wriC/8B-8EMAH6zu5-mpQXH5smebIuCuLHYAswLXMKKMDd0I),Pinterest,,"Noodles,Tomatoes,Bacon",,https://www.bonappetit.com/recipe/bucatini-all-amatriciana-2,7/19/2018,18/8/2018
Brioche Chocolate Rolls,⭐⭐⭐⭐,Fairly Easy,,Baking Basics,120,IMG_20171108_194838.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/cmV2qyadshoMFB4HX2pBdQ/DoMRJMUXWEjpV-xAHfrnA0TWW6JSVIaxo-azBXb2jWK4Ww4QKJcgxQncPaqJ1x-N/MHb6yozTaFrgsHTGmJheRFZ4BYq5_7vUAAeSQbL3wW4),Pinterest,,"Flour,Eggs,Yeast,Fish",,https://tutti-dolci.com/2013/11/brioche-rolls-with-chocolate/,11/7/2017,7/12/2017
Naan,⭐⭐⭐⭐⭐,Fairly Easy,Don't fry too long,Baking Basics,45,IMG_20171115_202417.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/Oa6jCpecrXu1NZXOyGnvgQ/HG3CmR9vSrhedeWT_HUNiEw6hxmBhgjtfDxkqCUD_eDLXWafvFhtuiMHRIKda8DB/bFDn4-qCDgvledO_E7U_SKio5cYIWsHh180gLqv6ujo),Pinterest,,"Milk,Yogurt,Flour,Yeast",,https://food52.com/recipes/24144-homemade-naan?utm_source=cj&affil=cj&utm_medium=affiliate&utm_campaign=Food52+Shop&company=Skimlinks&website=7262954,1/3/2018,23/1/2018
Lemon Poppy Seed Scones,⭐⭐⭐⭐⭐,Super Simple,,Baking Basics,30,IMG_20171119_085520.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/C7XUGaPOO8YMQJxE38K7xg/_4Qu4ZYno3OcELWdamwT4ugscWgWJTbtoXkanBFaJiQ_8g1zMIs8KLj7lB8CbXm_/YroJJav1F6W91exXU5djnzkIwfCcmM4aw_pMY30M_kM),Pinterest,,"Flour,Butter,Sour Cream",,http://barefootandbaking.blogspot.ru/2012/05/lemon-poppy-seed-scones.html,11/19/2017,9/12/2017
Balsamic Dijon Root Vegetables,⭐⭐⭐⭐,Fairly Easy,Really yummy - takes a long time to cook,Main Dish,150,IMG_20171118_193436.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/bnKo4gkrJb6xB-KEPtl6vw/9NsWzoLe3f2wgsUYLDvL0-K4Qh83Wfs20oYjHbC3XwSKMGuiR89K0cggKIZI97bM/twRmG5IMBfAS02oi65St5w2N3xHImq4NNFPhu7gLT9I),Pinterest,,"Potatoes,Onion,Carrots,Parsnips",,http://www.thecreativebite.com/balsamic-dijon-roasted-root-vegetables/,6/19/2018,19/7/2018
Best Baked Chicken Legs,⭐⭐⭐⭐⭐,Super Simple,Luke loves it,Main Dish,90,IMG_20171121_204505.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/9bQvsNApkIVm_x39a65DUg/fABVbVDcDryZj4pdx5POf0FtcFYq6LU16VMEFgpTDupd5dVSLzKoTbRBZqOdGVjD/t405lFOpzx5h3-Uz75n-_stwy-RT43byLIZJ7NiuZi8),Pinterest,,"Chicken,Rice",,https://www.blessthismessplease.com/chicken-legs/?m,1/11/2019,31/1/2019
Spanish Lentil Soup,,Fairly Easy,Burns in an enamel pot,Main Dish,60,,Pinterest,,"Ham,Lentils",,http://www.myrecipes.com/recipe/spanish-style-lentil-soup,11/19/2017,19/11/2017
Chocolate Chip Irish Soda Bread,⭐⭐,Average,Can use enamel pot instead of skillet,Baking Basics,60,,Pinterest,,"Flour,Chocolate Chips",,http://www.delish.com/cooking/recipe-ideas/recipes/a51728/irish-soda-bread-recipe/,12/2/2017,2/2/2018
Malteese Gilatti,⭐⭐,Average,Hard to get them toasty,Baking Basics,120,,Pinterest,,"Flour,Butter,Yeast",,http://www.ilovefood.com.mt/recipes/galletti-recipe/,12/17/2017,17/2/2018
Buckwheat Carrot and Onion,⭐⭐⭐⭐,Fairly Easy,,Main Dish,40,,Pinterest,,"Buckwheat,Carrots,Onion",,http://www.pinchofcinnamon.com/2011/12/cooking-buckwheat.html,1/10/2018,9/2/2018
Sweet Potatoes with Yogurt and Chickpeas,⭐⭐⭐⭐⭐,Fairly Easy,,Main Dish,30,,,,"Chickpeas,Potatoes,Yogurt,Eggs",,https://www.prevention.com/food/10-healthy-chickpea-recipes/slide/9,1/8/2019,28/1/2019
Spanish Chickpeas,⭐⭐⭐⭐⭐,Average,Don't forget to make Naan dough ahead of time,Main Dish,45,,,,"Chickpeas,Flour,Yogurt,Onion,Eggs",,https://www.prevention.com/food/10-healthy-chickpea-recipes/slide/3,1/21/2019,10/2/2019
Lemon Fettuchini,⭐⭐⭐⭐,Fairly Easy,,Main Dish,30,,,,"Noodles,Coconut milk",,https://veganheaven.org/recipe/lemon-spaghetti-with-spinach/,6/1/2018,1/7/2018
Chickpea Masala,⭐⭐⭐⭐⭐,Fairly Easy,Don't forget to make Naan dough ahead of time,Main Dish,40,IMG_20180326_175645649.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/nLz1hzDKqzjgRmauwogTcQ/bWFQqFE5Oe5KKlVz_JXkZ6iwU05C122nfQ-EgrbNNgo87NACKSnpMehcO8a1s85L/nunITNgzvpmj4p9k0407wkJTEBljARBLJ8T46KsB_yg),,,"Chickpeas,Flour,Yogurt,Eggs",,,11/11/2018,1/12/2018
Chickpea Broccoli Pesto,⭐⭐⭐,Super Simple,,Side Dish,40,,,,"Broccoli,Chickpeas",,,6/1/2018,18/7/2018
Thai Veggie Soup,⭐⭐⭐,Average,,Main Dish,30,IMG_20180327_174117059.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/I_-Xs0ku04KdwdHeox0gnw/kmsQN0kiECmi_01OFZI6PqhzfUqmDleysDZ6V5PNntF2gQqx0t-feXTtMr8UEOJi/rNEBdNmMhnr9Q_aesRCBjHNLqXxAsj5Bj2aSAeqPKwM),,,"Coconut milk,Noodles",,https://www.budgetbytes.com/thai-curry-vegetable-soup/,7/11/2018,27/8/2018
Buttery Herb Chicken,⭐⭐⭐⭐,Fairly Easy,,Main Dish,20,IMG_20180401_180911317_HDR.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/u7jBgaVI1H4yszTe78Tm2w/RlX2udmGQa05sWoPKv-Ih3c_7x5Rd5tuaNZGXuys4mHBzbRtgdQEM3OdXOerVlW6eJiUZzU6Hqpr2TUTtdZ35Q/EoxwrAPCldhDXmn4KLls1Nb7-tIxO7catmcwTpC3OxM),,,"Chicken,Rice",,,4/1/2018,1/5/2018
Rosemary Parsnips,⭐⭐⭐⭐⭐,Super Simple,Can throw in carrots as well,Main Dish,35,IMG_20180401_180921951_HDR.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/UxxjcmjNrXhbkKaHum3a3w/gOLIDDdl0f00TRKY0eqWb_-8D-F-0-pqAQkXSI5CbHn23kIT42bEpHGnO7NW7t5S30JIuz1J5lk4qVuJakfPUQ/1r6k0WJoJ2Jbdoo90nr8xEOPr8DAP_fsgS8hpkUbGWc),,,Parsnips,,,4/1/2018,21/4/2018
Balsamic Potatoes and Asparagus,⭐⭐⭐,Super Simple,Potatoes for 25 min then aspargus for 15,Main Dish,40,,,,"Potatoes,Asparagus",,http://wallflowerkitchen.com/balsamic-roasted-new-potatoes-asparagus/,3/30/2018,16/5/2018
Quinoa Brussels Sweet Potato Salad,⭐⭐⭐⭐,Average,,Main Dish,40,,,,"Quinoa,Brussels Sprouts ,Sweet potato",,https://laurenkellynutrition.com/sweet-potato-brussels-sprout-quinoa-bowl/,12/30/2018,29/1/2019
Thai Peanut Cabbage Quinoa,⭐⭐⭐⭐,Fairly Easy,,Main Dish,20,IMG_20180430_173418382_HDR.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/oTuzVIULe7kH2g3485AESg/3DOFChGkia7eQ6A7cO4PH9DY2-w5ZKotdxvK-RustoueCZ9fCxw_EGZw0sWjvW1IHHVYVWq7ZEzJE3JKYeS_1w/MSztQVFqQ7OEuQ1huXbpQ6Nly2l3kLJGnc2hIKtNkT4),,,"Quinoa,Cabbage,Peanut",,https://cookieandkate.com/2017/thai-peanut-quinoa-salad-recipe/,2/16/2019,18/3/2019
Lemon Garlic Asparagus with Orzo,⭐⭐⭐,Average,,Main Dish,30,,,,"Orzo,Asparagus",,https://www.thegardengrazer.com/2018/03/lemon-garlic-orzo-with-asparagus.html,6/13/2018,30/7/2018
Moroccan Sweet Potato Lentil Stew,⭐⭐⭐,Average,,Main Dish,60,IMG_20180416_180744528.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/o9HqMMjCfVQ7IGz1KU_ETw/sWFAUFIqSjCP2OmDfXkqA4oGRuokCWXJOXnjfha7zW5geNOzH6J6hh2iS4y27vzH/Bf0VdjeG9jMIDmd9VBh5UXmcYOvxgZjGcWyBwFeYg8M),,,"Sweet potato,Lentils,Spinach,Onion,Carrots",,https://monkeyandmekitchenadventures.com/moroccan-sweet-potato-lentil-stew/,4/16/2018,2/6/2018
Chia Crusted Salmon,⭐⭐⭐⭐,Fairly Easy,SO GOOD,Main Dish,20,IMG_20180406_181053651.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/kgrEMzRJKar_AIiWvyfBvw/uBX0a9AjAsDe9yYXBIfgQa4UQHgFvvRYnupHSjQE0NvBxmZkrTG62e80aVqb5BYW/1m-k2bCoFkxAs3qT7kbpuLYrpxYr94jP7EDBWRmRA28),,,"Salmon,Chia",,https://houseandhome.com/recipe/chia-crusted-salmon-recipe/,8/4/2018,3/9/2018
Pinto Beans and Tomatillo Cilantro Lime Rice,⭐⭐⭐⭐⭐,Hard,Amazing flavor,Main Dish,60,IMG_20180418_174202925.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/hO7h8HqqZYl9zW-M7s60gg/ogk7x1PXcgjrjUpGTU6RNlfWM_iXHGSnGaPf0vQoixGEpoEhbwqTx5LosGBhqDHg/OvgqSQf7IDb4ERZZ5YLMiwe0_c4263GayDCz_5O-TAU),,,"Beans,Rice,Onion,Tomatillo,Lime,Garlic",,https://www.thecuriouschickpea.com/mexican-pinto-beans-and-tomatillo-cilantro-lime-rice/,2/17/2019,9/3/2019
Thai Squash Soup,⭐⭐⭐,Average,,Main Dish,60,IMG_20180424_190711006_HDR.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/JnNBLD7yz4nFm7pW6yqHRg/QbczgGODR4IEDKUftxUgdI7Xu2LeWnufoqU1uopPpp0v51FDGXgc9NJaACoad1EwGHV5B84aObt4Ik0IYyISqw/SMPmxvMWaJUtKRAL1evJaRrv68P-0s9xXzwFIsAb2jw),,,"Squash,Coconut milk,Peanut,Onion,Garlic,Carrots,Cilantro",,http://hostthetoast.com/thai-coconut-curry-butternut-squash-soup/,4/17/2018,3/6/2018
Roasted Carrot & Peanut Sauce,⭐⭐⭐⭐⭐,Average,Ask Luke for recipe link,Main Dish,75,IMG_20180426_174238611_HDR.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/igKLXyL127J3xjkkFAZjMQ/92t-FscmIsRfqhPzjMrvkZVLHHb5NnynhBrelDPC9ydhfDLzNTnNOXJVWyHzvFJrvF_QKIe37saR0rX5lrvXew/5-4i7XivcXIcJl8RrDYupM5fE7MJeaDoPgOflpKdlmk),,,"Carrots,Peanut,Cilantro",,https://pinchofyum.com/lentil-curry-bowls-with-cilantro-cashew-sauce,2/11/2019,3/3/2019
Majoram White Wine Chicken,⭐⭐⭐⭐,Average,,Main Dish,120,IMG_20180609_195012555_HDR.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/Kd2ZbVvW1FfFbRy4lAnPbg/QXUx_l39g_WWjdmOrCpdSnUyi3JxwM4YW_Ias0gDbGR9I1QFpHe-c-dsmHB6026wpKusWUWQqpK3dRWwPpJp6w/9tAlgPnzYxMNMtAatUzOYA7slKKBcKV7s3E5FAiUJ50),Pinterest,,"Chicken,Wine",,https://www.foodandwine.com/recipes/wine-baked-chicken-legs-with-marjoram,1/8/2019,7/2/2019
